#
# 10 pt results for the 2DHEG:
# Wigner-Seitz radius rs = 1.0
# The reference energy is 0.446634 Ry
#

nsh		partnum		    Magnus(2/3)		 Magnus(2/3)[T]
		1.800000000000e+01  -6.333555164689e-02  -6.582372839009e-02
		2.600000000000e+01  -1.096536931807e-01  -1.124724941572e-01
		4.200000000000e+01  -1.506578507191e-01  -1.611016132124e-01
		5.000000000000e+01  -1.621498706798e-01  -1.728080290020e-01
		5.800000000000e+01  -1.673887568005e-01  -1.791031326845e-01
		7.400000000000e+01  -1.801747299907e-01  -1.921538084531e-01
		9.000000000000e+01  -1.848469756780e-01  -1.972649527298e-01
10		9.800000000000e+01  -1.861606898463e-01  -1.986663180857e-01
20		2.420000000000e+02  -1.947770814331e-01  -2.079562735317e-01
30		3.940000000000e+02  -1.964517252571e-01  -2.097436402848e-01
