#
# 10 pt results for the 2DHEG:
# Wigner-Seitz radius rs = 0.5
# The reference energy is 2.90389 Ry
#

nsh		partnum		    Magnus(2/3)		 Magnus(2/3)[T]
		1.800000000000e+01  -8.001871841568e-02  -8.114371899990e-02
		2.600000000000e+01  -1.374384523275e-01  -1.386885345357e-01
		4.200000000000e+01  -1.845295128376e-01  -1.894534893924e-01
		5.000000000000e+01  -1.972962088260e-01  -2.024722594919e-01
		5.800000000000e+01  -2.042892609555e-01  -2.099783580075e-01
		7.400000000000e+01  -2.198779094150e-01  -2.258848469512e-01
		9.000000000000e+01  -2.264098970005e-01  -2.326619070590e-01
10		9.800000000000e+01  -2.282741531087e-01  -2.345835381638e-01
20		2.420000000000e+02  -2.414653099111e-01  -2.482033554531e-01
30		3.940000000000e+02  -2.442167314885e-01  -2.510316945029e-01
