   1.000000000000e-02   5.440297264659e-02   8.437429277607e-01   1.600042985725e+00   1.056831307997e-03
   3.020408163265e-02   1.982330042861e-01   1.835566803125e+00   3.302422000475e+00   3.176299795295e-03
   5.040816326531e-02   3.474498751328e-01   2.660668401532e+00   4.607790357651e+00   5.730811477754e-03
   7.061224489796e-02   5.013561477753e-01   3.379477909356e+00   5.759923715800e+00   8.744143612972e-03
   9.081632653061e-02   6.582984911849e-01   4.052193471815e+00   6.796339409608e+00   1.209877188966e-02
   1.110204081633e-01   8.155492643397e-01   4.686929627895e+00   7.758228091908e+00   1.589890997856e-02
   1.312244897959e-01   9.709734393334e-01   5.301055748472e+00   8.658308257485e+00   2.024299609925e-02
   1.514285714286e-01   1.133254186395e+00   5.886032760037e+00   9.511999892689e+00   2.474207006773e-02
   1.716326530612e-01   1.293989242450e+00   6.458523727567e+00   1.032422923520e+01   2.980582998740e-02
   1.918367346939e-01   1.457731050720e+00   7.006222344465e+00   1.111077456267e+01   3.510600347955e-02
   2.120408163265e-01   1.620903456000e+00   7.551278254257e+00   1.186060957961e+01   4.089543530399e-02
   2.322448979592e-01   1.785437918567e+00   8.091022776547e+00   1.257878179194e+01   4.691566460755e-02
   2.524489795918e-01   1.953828532597e+00   8.606527206402e+00   1.328628816297e+01   5.335629299559e-02
   2.726530612245e-01   2.123086225129e+00   9.099508407282e+00   1.398768644431e+01   6.039228037625e-02
   2.928571428571e-01   2.290571073405e+00   9.618922798405e+00   1.463911546865e+01   6.726491057136e-02
   3.130612244898e-01   2.463840325161e+00   1.009938025305e+01   1.530090276732e+01   7.485468630621e-02
   3.332653061224e-01   2.631079532055e+00   1.061006824600e+01   1.591846055365e+01   8.228189149346e-02
   3.534693877551e-01   2.806101971936e+00   1.107923008327e+01   1.655065924645e+01   9.052678111092e-02
   3.736734693878e-01   2.981636846702e+00   1.155718266331e+01   1.715515102784e+01   9.855306219968e-02
   3.938775510204e-01   3.156306410937e+00   1.202815762705e+01   1.775223674149e+01   1.072193035288e-01
   4.140816326531e-01   3.329936120455e+00   1.250465816399e+01   1.832888982365e+01   1.158545169995e-01
   4.342857142857e-01   3.506571980061e+00   1.297504213745e+01   1.889516780941e+01   1.247710423907e-01
   4.544897959184e-01   3.688022886502e+00   1.342138245517e+01   1.946689890237e+01   1.340251163443e-01
   4.746938775510e-01   3.863290775520e+00   1.388871755919e+01   2.001199773694e+01   1.436105345586e-01
   4.948979591837e-01   4.043480528319e+00   1.434388685986e+01   2.055267009874e+01   1.530569739852e-01
   5.151020408163e-01   4.228336503585e+00   1.477630535263e+01   2.110032725220e+01   1.631764661673e-01
   5.353061224490e-01   4.408187683263e+00   1.523088905389e+01   2.162000372953e+01   1.732274926897e-01
   5.555102040816e-01   4.591119078592e+00   1.566510651595e+01   2.214755122659e+01   1.836608331865e-01
   5.757142857143e-01   4.772397353001e+00   1.611724052799e+01   2.264952324860e+01   1.939498055125e-01
   5.959183673469e-01   4.955668766415e+00   1.655581836779e+01   2.315350012536e+01   2.046057032046e-01
   6.161224489796e-01   5.147311557773e+00   1.696390263191e+01   2.367184716816e+01   2.157525539921e-01
   6.363265306122e-01   5.331270802698e+00   1.740969737610e+01   2.415159259045e+01   2.264705296750e-01
   6.565306122449e-01   5.514282860459e+00   1.784896280285e+01   2.463077009233e+01   2.374283117016e-01
   6.767346938776e-01   5.698965399394e+00   1.828392770392e+01   2.510598412530e+01   2.488441289608e-01
   6.969387755102e-01   5.891719944069e+00   1.869543748267e+01   2.558934728280e+01   2.605944289517e-01
   7.171428571429e-01   6.079690626594e+00   1.912053277974e+01   2.605681279245e+01   2.723606690180e-01
   7.373469387755e-01   6.264220446584e+00   1.955881835719e+01   2.650794566451e+01   2.838561906653e-01
   7.575510204082e-01   6.464893579607e+00   1.994543201075e+01   2.698789412125e+01   2.964364584515e-01
   7.777551020408e-01   6.646613743165e+00   2.038959013771e+01   2.742358727938e+01   3.080092480878e-01
   7.979591836735e-01   6.842500412143e+00   2.079488463873e+01   2.787819633225e+01   3.205496834900e-01
   8.181632653061e-01   7.033007752811e+00   2.121514838004e+01   2.831750841284e+01   3.328559632365e-01
   8.383673469388e-01   7.223491556329e+00   2.163454949424e+01   2.875237044112e+01   3.451004560975e-01
   8.585714285714e-01   7.417479296890e+00   2.204218667242e+01   2.919041078309e+01   3.580052245373e-01
   8.787755102041e-01   7.614539836493e+00   2.244231927729e+01   2.962705170549e+01   3.710736321065e-01
   8.989795918367e-01   7.809897956932e+00   2.284636251041e+01   3.005686265470e+01   3.836301196929e-01
   9.191836734694e-01   8.005281528724e+00   2.325173477093e+01   3.048094631317e+01   3.971177874020e-01
   9.393877551020e-01   8.194390907334e+00   2.368145250773e+01   3.088225018844e+01   4.096173554087e-01
   9.595918367347e-01   8.393068830616e+00   2.407269625907e+01   3.130736618014e+01   4.230248468620e-01
   9.797959183673e-01   8.594076648721e+00   2.445915001626e+01   3.173100103711e+01   4.366044086153e-01
   1.000000000000e+00   8.787470179032e+00   2.487463352257e+01   3.212927801341e+01   4.499395034987e-01
