   1.000000000000e-02  -6.645172891546e-02   4.663178225713e-03   9.863381067850e-02
   6.210526315789e-02   6.234235913737e-02   8.195514658103e-02   1.554400704366e-01
   1.142105263158e-01   1.177993971340e-01   1.683743462468e-01   2.049343978970e-01
   1.663157894737e-01   1.630941397363e-01   2.510194688499e-01   2.521884860384e-01
   2.184210526316e-01   2.033243616030e-01   3.335913313079e-01   2.953697774462e-01
   2.705263157895e-01   2.508754058988e-01   4.014671220794e-01   3.414943731261e-01
   3.226315789474e-01   3.004001074780e-01   4.649261151365e-01   3.842004342083e-01
   3.747368421053e-01   3.378074818781e-01   5.331844495098e-01   4.319004234519e-01
   4.268421052632e-01   3.859381502906e-01   6.032347264064e-01   4.638484380210e-01
   4.789473684211e-01   4.279878942064e-01   6.665580847968e-01   5.073384396717e-01
   5.310526315789e-01   4.775930152199e-01   7.330735148910e-01   5.363735614026e-01
   5.831578947368e-01   5.185850379808e-01   7.931236832811e-01   5.794411151288e-01
   6.352631578947e-01   5.772264535616e-01   8.513117899028e-01   6.052152398246e-01
   6.873684210526e-01   5.995596846466e-01   9.312772234238e-01   6.436152376163e-01
   7.394736842105e-01   6.570740325234e-01   9.799887207320e-01   6.779974794442e-01
   7.915789473684e-01   6.974123101225e-01   1.060453156646e+00   6.966111247279e-01
   8.436842105263e-01   7.642769223309e-01   1.099521245956e+00   7.285558985651e-01
   8.957894736842e-01   8.057762011433e-01   1.155466479962e+00   7.674227637274e-01
   9.478947368421e-01   8.366144365624e-01   1.248462273699e+00   7.804517507444e-01
   1.000000000000e+00   8.978367100316e-01   1.267944248428e+00   8.343879478416e-01
