      5      8     18     11 -0.35682  0.07866
      5      8     14     15 -0.35682  0.07866
      3     10     18     11 -0.35682  0.07866
      1      2     18     11 -0.25231  0.02441
      3      4     14     11 -0.35682  0.07866
      3     10     14     15 -0.15958  0.03518
      9      4     18     11 -0.15958  0.03518
      9     10     18     15 -0.35682  0.07866
      1      2     14     15 -0.25231  0.02441
      9      4     14     15 -0.35682  0.07866
      7      6     18     11 -0.15958  0.03518
      7      8     18     13 -0.35682  0.07866
      5      6     16     11 -0.35682  0.07866
      5      8     16     13 -0.15958  0.03518
      7      8     14     17 -0.35682  0.07866
      7      6     14     15 -0.15958  0.03518
      5      8     12     17 -0.15958  0.03518
      5      6     12     15 -0.35682  0.07866
      3     10     16     13 -0.35682  0.07866
      1      2     16     13 -0.25231  0.02441
      9      4     16     13 -0.15958  0.03518
      9     10     16     17 -0.35682  0.07866
      3      4     12     13 -0.35682  0.07866
      3     10     12     17 -0.15958  0.03518
      1      2     12     17 -0.25231  0.02441
      9      4     12     17 -0.35682  0.07866
      7      6     16     13 -0.35682  0.07866
      7      6     12     17 -0.35682  0.07866
      5      8     17     12  0.15958 -0.03518
      5      7     17     11 -0.19725  0.04348
      6      8     18     12 -0.19725  0.04348
      6      7     18     11  0.15958 -0.03518
      5      8     13     16  0.15958 -0.03518
      5      7     13     15 -0.19725  0.04348
      6      8     14     16 -0.19725  0.04348
      6      7     14     15  0.15958 -0.03518
      4      9     18     11  0.15958 -0.03518
      4     10     18     12 -0.19725  0.04348
      3      9     17     11 -0.19725  0.04348
      3     10     17     12  0.15958 -0.03518
      2      1     18     11  0.25231 -0.02441
      1      2     17     12  0.25231 -0.02441
     10      9     18     15  0.35682 -0.07866
     10      3     18     11  0.35682 -0.07866
     10      4     18     12  0.19725 -0.04348
      9     10     17     16  0.35682 -0.07866
      9      3     17     11  0.19725 -0.04348
      9      4     17     12  0.35682 -0.07866
      4      9     14     15  0.35682 -0.07866
      4     10     14     16  0.19725 -0.04348
      4      3     14     11  0.35682 -0.07866
      3      9     13     15  0.19725 -0.04348
      3     10     13     16  0.35682 -0.07866
      3      4     13     12  0.35682 -0.07866
      1      2     13     16  0.25231 -0.02441
      2      1     14     15  0.25231 -0.02441
      9      4     13     16  0.15958 -0.03518
      9      3     13     15 -0.19725  0.04348
     10      4     14     16 -0.19725  0.04348
     10      3     14     15  0.15958 -0.03518
      5      8     15     14  0.35682 -0.07866
      5      7     15     13  0.19725 -0.04348
      5      6     15     12  0.35682 -0.07866
      6      8     16     14  0.19725 -0.04348
      6      7     16     13  0.35682 -0.07866
      6      5     16     11  0.35682 -0.07866
      8      7     18     13  0.35682 -0.07866
      8      6     18     12  0.19725 -0.04348
      8      5     18     11  0.35682 -0.07866
      7      8     17     14  0.35682 -0.07866
      7      6     17     12  0.35682 -0.07866
      7      5     17     11  0.19725 -0.04348
      7      6     13     16  0.35682 -0.07866
      7      8     13     18  0.35682 -0.07866
      7      5     13     15  0.19725 -0.04348
      8      7     14     17  0.35682 -0.07866
      8      6     14     16  0.19725 -0.04348
      8      5     14     15  0.35682 -0.07866
      5      7     11     17  0.19725 -0.04348
      5      6     11     16  0.35682 -0.07866
      5      8     11     18  0.35682 -0.07866
      6      7     12     17  0.35682 -0.07866
      6      8     12     18  0.19725 -0.04348
      6      5     12     15  0.35682 -0.07866
      4      9     16     13  0.15958 -0.03518
      4     10     16     14 -0.19725  0.04348
      3      9     15     13 -0.19725  0.04348
      3     10     15     14  0.15958 -0.03518
