      1      2     15     14  0.25231 -0.02441
      2      1     16     13  0.25231 -0.02441
      9      3     15     13  0.19725 -0.04348
      9     10     15     18  0.35682 -0.07866
      9      4     15     14  0.35682 -0.07866
      3     10     11     18  0.35682 -0.07866
      3      9     11     17  0.19725 -0.04348
      3      4     11     14  0.35682 -0.07866
     10      3     16     13  0.35682 -0.07866
     10      9     16     17  0.35682 -0.07866
     10      4     16     14  0.19725 -0.04348
      4      3     12     13  0.35682 -0.07866
      4     10     12     18  0.19725 -0.04348
      4      9     12     17  0.35682 -0.07866
      2      1     12     17  0.25231 -0.02441
      1      2     11     18  0.25231 -0.02441
     10      4     12     18 -0.19725  0.04348
     10      3     12     17  0.15958 -0.03518
      9      4     11     18  0.15958 -0.03518
      9      3     11     17 -0.19725  0.04348
      7      5     15     13 -0.19725  0.04348
      7      6     15     14  0.15958 -0.03518
      8      5     16     13  0.15958 -0.03518
      8      6     16     14 -0.19725  0.04348
      7      5     11     17 -0.19725  0.04348
      7      6     11     18  0.15958 -0.03518
      8      5     12     17  0.15958 -0.03518
      8      6     12     18 -0.19725  0.04348
      6      7     17     12 -0.35682  0.07866
      6      7     13     16 -0.35682  0.07866
      4      9     17     12 -0.35682  0.07866
      2      1     17     12 -0.25231  0.02441
     10      3     17     12 -0.15958  0.03518
     10      9     17     16 -0.35682  0.07866
      4      3     13     12 -0.35682  0.07866
      4      9     13     16 -0.15958  0.03518
      2      1     13     16 -0.25231  0.02441
     10      3     13     16 -0.35682  0.07866
      6      7     15     14 -0.15958  0.03518
      6      5     15     12 -0.35682  0.07866
      8      7     17     14 -0.35682  0.07866
      8      5     17     12 -0.15958  0.03518
      8      7     13     18 -0.35682  0.07866
      8      5     13     16 -0.15958  0.03518
      6      7     11     18 -0.15958  0.03518
      6      5     11     16 -0.35682  0.07866
      4      9     15     14 -0.35682  0.07866
      2      1     15     14 -0.25231  0.02441
     10      3     15     14 -0.15958  0.03518
     10      9     15     18 -0.35682  0.07866
      4      3     11     14 -0.35682  0.07866
      4      9     11     18 -0.15958  0.03518
      2      1     11     18 -0.25231  0.02441
     10      3     11     18 -0.35682  0.07866
      8      5     15     14 -0.35682  0.07866
      8      5     11     18 -0.35682  0.07866
